emotion,version,alpha,accuracy,target_prob_mean,target_prob_std,confidence_mean,entropy_mean,margin_mean,emotional_score,gain_mean,gain_positive_ratio,n_samples
anger,alpha_0.5,0.5,0.0,0.126480832695961,0.0,0.44495639204978943,1.208667506445693,0.31847555935382843,1.0,0.12616930415970273,1.0,1
anger,alpha_1.0,1.0,0.0,0.051385458558797836,0.0,0.47546762228012085,1.0705578458774534,0.39085737615823746,1.0,0.05107393002253957,1.0,1
anger,alpha_1.5,1.5,0.0,0.018092656508088112,0.0,0.43676602840423584,0.7987570108260005,0.3941509760916233,1.0,0.017781127971829847,1.0,1
anger,alpha_2.0,2.0,0.0,0.0357881523668766,0.0,0.3324350118637085,1.128175014581064,0.05224567651748657,0.0,0.03547662383061834,1.0,1
anger,alpha_4.0,4.0,0.0,0.02499075047671795,0.0,0.10748177021741867,1.4469611749900237,0.049612872302532196,0.0,0.024679221940459684,1.0,1
anger,alpha_5.0,5.0,0.0,0.018291564658284187,0.0,0.28363651037216187,1.047146776693861,0.21445197612047195,0.0,0.017980036122025922,1.0,1
anger,alpha_6.0,6.0,0.0,0.004126440733671188,0.0,0.4916735589504242,0.8165523125853423,0.32617801427841187,1.0,0.003814912197412923,1.0,1
anger,alpha_7.0,7.0,1.0,0.055198248475790024,0.0,0.055198248475790024,1.5985442182128595,0.026013484224677086,0.0,0.05488671993953176,1.0,1
anger,default,default,0.0,0.0007195448270067573,0.0,0.8582726716995239,0.29226511195972105,0.7992710322141647,1.0,0.0004080162907484919,1.0,1
happiness,alpha_0.5,0.5,1.0,0.23290325701236725,0.0,0.23290325701236725,0.9651731318721823,0.18386786058545113,0.0,0.2128511145710945,1.0,1
happiness,alpha_1.0,1.0,0.0,0.07194230705499649,0.0,0.10534922033548355,1.5406297251243288,0.03340691328048706,0.0,0.051890164613723755,1.0,1
happiness,alpha_1.5,1.5,1.0,0.12351452559232712,0.0,0.12351452559232712,1.0345408109015894,0.10588711127638817,0.0,0.10346238315105438,1.0,1
happiness,alpha_2.0,2.0,1.0,0.3159801661968231,0.0,0.3159801661968231,1.0773520798775813,0.23179728537797928,1.0,0.2959280237555504,1.0,1
happiness,alpha_4.0,4.0,0.0,0.1056661531329155,0.0,0.1252112090587616,1.3545534099042689,0.010845661163330078,0.0,0.08561401069164276,1.0,1
happiness,alpha_5.0,5.0,0.0,0.036899812519550323,0.0,0.20347145199775696,1.175249955869241,0.07867448031902313,0.0,0.016847670078277588,1.0,1
happiness,alpha_6.0,6.0,0.0,0.03639219328761101,0.0,0.12224210798740387,1.3785327425530296,0.07680341601371765,0.0,0.016340050846338272,1.0,1
